Threshold;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
0.5;24.229815006256104;1185;5000;0.9528831845238216;0.7927083333333439;0.7878920530869442;0.43037974683544306;0.016033755274261603;0.015189873417721518;0.04135021097046414;0.070042194092827;0.4270042194092827;0.7623318385650224;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.016442451420029897;0.19282511210762332;0.5501618122977346;0.011502951415165734;0.013381655979927517;0.012659535989252312;0.026632828680610253;0.26567679937482064
0.55;26.41227889060974;1185;5000;0.9528831845238216;0.7927083333333439;0.7878920530869442;0.43037974683544306;0.016033755274261603;0.015189873417721518;0.04135021097046414;0.070042194092827;0.4270042194092827;0.7623318385650224;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.016442451420029897;0.19282511210762332;0.5501618122977346;0.011502951415165734;0.013381655979927517;0.012659535989252312;0.026632828680610253;0.26567679937482064
0.6000000000000001;25.51715111732483;1190;5000;0.9536644345238215;0.7906250000000105;0.7895083939220352;0.4294117647058823;0.01764705882352941;0.015126050420168067;0.04453781512605042;0.06890756302521009;0.42436974789915966;0.7638266068759342;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.014947683109118086;0.19133034379671152;0.549757934373319;0.011892963330029734;0.013356831462758557;0.014930628917529404;0.024566344108571257;0.26374792161823063
0.65;23.21615982055664;1191;5000;0.9536644345238215;0.7906250000000105;0.7895083939220352;0.4290512174643157;0.017632241813602016;0.015113350125944584;0.04450041981528128;0.06968933669185558;0.42401343408900083;0.7638266068759342;0.008968609865470852;0.01195814648729447;0.008968609865470852;0.014947683109118086;0.19133034379671152;0.5494623655913978;0.011889596602972398;0.013351877607788595;0.01492852616012957;0.024615567121906372;0.26367906537519403
0.7000000000000001;22.44601607322693;1216;5000;0.9535342261904882;0.7875000000000104;0.7977861115747532;0.4284539473684211;0.018914473684210526;0.01644736842105263;0.044407894736842105;0.06332236842105263;0.4284539473684211;0.7787742899850523;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.005979073243647235;0.18834080717488788;0.5527851458885942;0.010714119345972887;0.011607661056297156;0.016936242663201758;0.010926441633999683;0.26166033900331825
0.75;24.66320013999939;1222;5000;0.9543154761904883;0.7833333333333435;0.7985128851058031;0.427986906710311;0.019639934533551555;0.016366612111292964;0.044189852700491;0.0630114566284779;0.4288052373158756;0.7817638266068759;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.005979073243647235;0.18535127055306427;0.5531464833421471;0.010827393305061805;0.011587485515643106;0.01692032229185318;0.010921792166805555;0.25882521649763784
0.8;22.074321031570435;1224;5000;0.9543154761904883;0.7822916666666769;0.799480147010565;0.4272875816993464;0.0196078431372549;0.01715686274509804;0.04411764705882353;0.06290849673202614;0.42892156862745096;0.7817638266068759;0.005979073243647235;0.01046337817638266;0.01046337817638266;0.005979073243647235;0.18535127055306427;0.5525620707871104;0.009163802978235968;0.012999071494893223;0.016915022150624244;0.010920243223599071;0.2588464038838889
0.8500000000000001;22.903136014938354;1224;5000;0.9543154761904883;0.7822916666666769;0.8001670408660636;0.42810457516339867;0.02042483660130719;0.01715686274509804;0.04411764705882353;0.06372549019607843;0.4264705882352941;0.7832585949177877;0.005979073243647235;0.01046337817638266;0.01046337817638266;0.005979073243647235;0.18385650224215247;0.5536185948230321;0.009250265945145924;0.012999071494893223;0.016915022150624244;0.010932408283401663;0.2569421934089681
0.9;25.625604152679443;1225;5000;0.9543402777777898;0.7822916666666769;0.8005988139540867;0.42775510204081635;0.02122448979591837;0.017142857142857144;0.044081632653061226;0.06448979591836734;0.4253061224489796;0.7832585949177877;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.18236173393124067;0.5533262935586062;0.011054891789616906;0.011776251226692836;0.016912373324981543;0.013395279435702658;0.2552695888947568
0.9500000000000001;22.769288063049316;1225;5000;0.9543402777777898;0.7812500000000102;0.8002515917318646;0.42775510204081635;0.02122448979591837;0.017142857142857144;0.044081632653061226;0.06448979591836734;0.4253061224489796;0.7832585949177877;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.18236173393124067;0.5533262935586062;0.011054891789616906;0.011776251226692836;0.016912373324981543;0.013395279435702658;0.2552695888947568
1.0;23.67283797264099;4236;5000;0.9522569444444565;0.7739583333333435;0.7958203748006474;0.5424929178470255;0.008026440037771483;0.004957507082152974;0.013220018885741265;0.018649669499527857;0.4126534466477809;0.7757847533632287;0.005979073243647235;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19133034379671152;0.638496340587915;0.006853111615016377;0.006385404789053592;0.011681268251981644;0.01067120530588537;0.2614412077447097
